baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSG	GeneName	Function
29952.161033723278	-2.4403627816795277	0.038356814100343126	-63.62266624374565	0	0	ENSG00000104435	STMN2	protein-coding
6781.924400958795	-1.9544837994303172	0.04722583804306376	-41.38589976207695	0	0	ENSG00000196361	ELAVL3	protein-coding
16732.532628437377	-0.9915762143502265	0.03288463020149396	-30.153181236174547	9.744184459416825e-200	5.05983018362651e-196	ENSG00000067560	RHOA	protein-coding
5796.652016338467	-2.0350491883320525	0.07567061779329955	-26.89351888061698	2.615084313842325e-159	1.0184445860258936e-155	ENSG00000120948	TARDBP	protein-coding
5764.536137688168	-1.3871753190192082	0.05496807441150662	-25.236018068132054	1.6128153896188268e-140	5.0248876278964165e-137	ENSG00000112697	TMEM30A	protein-coding
5096.990824444402	-1.3346339228140445	0.05377733038826609	-24.817779409616325	5.763336327144335e-136	1.4963542217375743e-132	ENSG00000099901	RANBP1	protein-coding
11424.877923576843	-1.4182470523627426	0.06265138717255046	-22.637121321140054	1.8685452478171337e-113	4.15831398149933e-110	ENSG00000123143	PKN1	protein-coding
13624.609449610965	-0.8370939400614145	0.037023080249550956	-22.61005660304473	3.4509616077281914e-113	6.71988499064872e-110	ENSG00000166402	TUB	protein-coding
15789.387124241674	-0.7529377715497907	0.033872557968192676	-22.2285477304909	1.8192522685536923e-109	3.148923537725491e-106	ENSG00000260032	NORAD	ncRNA
1864.560093224801	-1.4174136694148447	0.07063290256929174	-20.06732865075656	1.4245860226130824e-89	2.2192201060266596e-86	ENSG00000110900	TSPAN11	protein-coding
37926.31237262244	-0.5322500428747943	0.027606943751194775	-19.27957138869309	7.973442827341831e-83	1.1291844760393732e-79	ENSG00000078369	GNB1	protein-coding
1756.0573925690128	-1.2207591784794947	0.06842719934581205	-17.84026220787025	3.4407758032653778e-71	4.4667004552723385e-68	ENSG00000111726	CMAS	protein-coding
1068.2952895760181	-1.683401121121288	0.09474453182947573	-17.767791856854892	1.2553584279595213e-70	1.5043056608271864e-67	ENSG00000076864	RAP1GAP	protein-coding
5987.99028636232	-0.8150246154575663	0.04614242239923205	-17.663238579150338	8.048623614942512e-70	8.95581847668389e-67	ENSG00000130227	XPO7	protein-coding
5063.167823862322	-0.8440477506759353	0.04810041184087867	-17.547620038434097	6.202519458428051e-69	6.182255143339187e-66	ENSG00000104635	SLC39A14	protein-coding
